,Made from,Country of origin,Region,Type,Family,Fat content,Texture,Rind,Colour,Flavour,Aroma,Vegetarian,Producers
Cornish Kern,,,Cornwall,,Cornish,,,washed,,,,yes ,Lynher Dairies
Cornish Pepper,pasteurized cow's milk,England,,"soft, artisan",Cornish,45%,creamy,natural,white,smooth,rich, no ,Lynher Valley Dairy
Cornish Smuggler,pasteurized cow's milk,England,North Cornwall,"semi-soft, artisan",Cheddar,,creamy,mold ripened ,ivory,creamy,rich,yes ,Whalesborough Farm Foods
Cornish Wild Garlic Yarg,pasteurized cow's milk,England, Cornwall,"semi-hard, artisan",Cornish,,crumbly and firm,leaf wrapped,pale yellow,garlicky,"aromatic, garlicky, herbal",yes ,Lynher Dairies
Cornish Yarg,pasteurized cow's milk,England,Cornwall,"semi-hard, artisan",Cornish,,creamy and crumbly,leaf wrapped,cream,"lemony, mushroomy","grassy, mushroom",yes ,Lynher Dairies
Cote Hill Blue,unpasteurized cow's milk,England and United Kingdom,Lincolnshire ,"soft, artisan, blue-veined",Blue,,creamy,natural,cream,"buttery, salty, sharp, smokey , smooth","smokey, strong",yes ,Cote Hill Farm
Cotherstone,unpasteurized cow's milk,England and United Kingdom,Cotherstone,"semi-hard, artisan",,45%,crumbly and open,waxed,pale yellow,"acidic, citrusy, tangy",fresh,,
Cotija,unpasteurized cow's milk,Mexico,Michoacán and Jalisco ,"fresh firm, artisan",Parmesan,,crumbly and dense,rindless,white,"salty, strong",, no ,Cacique Inc.
Cotswold,pasteurized cow's milk,"England, Great Britain and United Kingdom",Gloucestershire County,semi-hard,,,"crumbly, dense and firm",natural,yellow,"buttery, full-flavored, savory, sweet, tangy",, no ,"Ilchester Cheese Company, Long Clawson Dairy Limited"
Cottage Cheese,pasteurized or unpasteurized cow's milk,United Kingdom and United States,,"soft, artisan, processed",Cottage,4.30 g/100g,creamy and crumbly,rindless,white,sweet,,,
Cottage Cheese (Australian),pasteurized or unpasteurized cow's milk,Australia,,fresh soft,Cottage,,"crumbly, firm and grainy",rindless,white,"mild, sweet","lactic, milky",yes ,
Cougar Gold,cow's milk,United States,"Pullman, Washington",semi-soft,Cheddar,14%,"creamy, crumbly, crystalline, firm and smooth",rindless,white,"nutty, sharp",, no ,WSU Creamery
Coulommiers,unpasteurized cow's milk,France,,"soft, artisan",Brie,40%,creamy,,,"buttery, nutty",nutty, no ,
Counting Sheep...and Goats...,"pasteurized cow's, goat's and sheep's milk",Canada and Italy,Lombardy,"soft, soft-ripened",,,creamy and soft,,white,"creamy, subtle, sweet",nutty,,Fifth Town Artisan Cheese
Country Morning,pasteurized cow's milk,Canada,British Columbia,"hard, artisan",Cheddar,,creamy and crumbly,natural,pale yellow,"nutty, sharp",strong, no ,The Farm House Natural Cheeses
Coupole,pasteurized goat's milk,United States,Vermont,"soft, artisan",,,"buttery, creamy, dense and fluffy",mold ripened ,pale yellow,"mild, milky","fresh, mild, milky",yes ,Vermont Creamery
Couronne Lochoise,pasteurized goat's milk,France,Loire Valley,"soft, artisan, soft-ripened",,,"buttery, creamy, smooth and soft-ripened",bloomy,ivory,"acidic, herbaceous, mild, salty","earthy, goaty, grassy, musty", no ,"Fromages de chèvre FREVAL, Various"
Coverdale,pasteurized cow's milk,England and United Kingdom,North Yorkshire,"hard, artisan",,,"creamy, firm and open",natural,white,"buttery, lemony, mild, sharp",,yes ,Wensleydale Creamery
Cow's Milk Gouda,unpasteurized cow's milk,United States,Maine,"semi-hard, artisan",Gouda,,"compact, creamy, crumbly and dense",natural,,"caramel, nutty",,,Fuzzy Udder Creamery
Cracked Pepper Chevre,pasteurized goat's milk,United States,Colorado,"semi-soft, artisan",,5 g/100g,"creamy, crumbly and firm",rindless,white,"savory, spicy","clean, fresh",yes ,Haystack Mountain Goat Dairy
Cranborne ,unpasteurized cow's milk,"England, Great Britain and United Kingdom",Dorset,"soft, artisan, soft-ripened",Camembert,,buttery and creamy,bloomy,pale yellow,creamy,mushroom, no ,Chalke Valley Cheese Ltd
Cratloe Hills,pasteurized sheep's milk,Ireland,"Brickhill, Co. Clare","hard, artisan",,,"firm, grainy and open",plastic,pale yellow,"mild, nutty, strong, sweet",,yes ,Cratloe Hills
Cravero Parmigiano Reggiano,pasteurized or unpasteurized cow's milk,Italy,Modena ,"hard, artisan",Parmesan,,dense,natural,golden yellow,"bitter, creamy, nutty, savory, smooth, sweet","aromatic, fruity", no ,G. Cravero Sas
Crayeux de Roncq,unpasteurized cow's milk,France,Roncq,"soft, artisan, soft-ripened",,45%,creamy and grainy,washed,orange,"full-flavored, strong, sweet",, no ,
Cream Cheese,pasteurized or unpasteurized cow's milk,United States,"Chester, New York","fresh soft, processed",,65%,creamy and spreadable,rindless,white,"creamy, mild, sweet","fresh, pleasant",yes ,Kraft Foods Company
Cream Cheesy Bliss,,Canada and United States,,soft,,,creamy and spreadable,artificial,white,"creamy, garlicky, herbaceous, sweet",rich,yes ,GO Veggie!
Cream Havarti,pasteurized cow's milk,Denmark,,"semi-soft, processed",Havarti,11.0 g/100g,smooth,rindless,pale yellow,"buttery, creamy, sweet",sweet,,
Creamy Lancashire,pasteurized or unpasteurized cow's milk,England,Lancanshire,"fresh soft, artisan",,75%,"creamy, fluffy and smooth",natural,pale yellow,"buttery, creamy, smooth",rich, no ,
Crema de Blue,cow's and sheep's milk,United States,New Jersey,"semi-soft, artisan, blue-veined",Blue,,creamy,natural,cream,"full-flavored, spicy",, no ,Valley Shepherd Creamery
Crema Mexicana,pasteurized cow's milk,Mexico and Caribbean,,soft,,,"creamy, smooth and spreadable",rindless,white,"buttery, sour, tangy",rich,yes ,Cacique Inc.
Crema Mexicana Agria,pasteurized cow's milk,Mexico and Caribbean,,fresh soft,,,creamy and spreadable,rindless,white,"acidic, sour, tangy","aromatic, fresh", no ,Cacique Inc.
Cremet  ,unpasteurized cow's and goat's milk,"England, Great Britain and United Kingdom",Devon,"soft, artisan, soft-ripened",Brie,,"creamy, smooth, soft and soft-ripened",bloomy,white,"creamy, lemony","fresh, rich",yes ,Sharpham Wine & Cheese
"Cremig Extra Wurzig, Bergkase Aus Dem Schweizer Jura",unpasteurized cow's milk,Switzerland,Jura,"hard, artisan",Swiss Cheese,51%,creamy,natural,cream,"creamy, spicy",,,Affineur Walo of Mühlenen
Cremont,pasteurized cow's and goat's milk,United States,Vermont,"soft, artisan",,14%,creamy and smooth,mold ripened ,cream,"creamy, nutty, smooth, yeasty","nutty, yeasty",,Vermont Creamery
CreMonte ,pasteurized cow's milk,Germany,Landshut,"soft, blue-veined",Blue,60%,creamy and smooth,mold ripened ,ivory,"creamy, mild",pleasant,,Bayerische Milchindustrie eG
CreNoble ,,Germany,Landshut,semi-soft,,,"creamy, open and smooth",,pale yellow,"creamy, savory",aromatic,,Bayerische Milchindustrie eG
Crescenza,cow's milk,Italy," Lombardy, Piedmont, and Veneto",fresh soft,Italian Cheese,51%,"buttery, creamy and spreadable",rindless,white,"creamy, mild, sweet","pleasant, rich",,
Crescenza di Bufala,pasteurized water buffalo's milk,Italy,Lombardy,"fresh soft, artisan",,,"buttery, creamy and spreadable",rindless,white,"buttery, creamy, mild, sweet","fresh, pleasant, rich, sweet",yes ,Azienda Agricola Gritti Bruno E Alfio S.s. Societa Agricola
Cressy Blu,unpasteurized cow's milk,Canada and Italy,Lombardy,"semi-hard, blue-veined",Blue,,"creamy, crumbly and firm",natural,pale yellow,"creamy, savory, sweet",,,Fifth Town Artisan Cheese
Criffel,unpasteurized cow's milk,Scotland and United Kingdom,Dumfriesshire,"semi-hard, artisan",,,creamy and smooth,washed,straw,smooth,"pungent, strong",yes ,Loch Arthur Creamery
Crocodile Tear,pasteurized goat's milk,United States,Indiana,"soft, semi-soft, artisan, soft-ripened",Brie,,creamy and firm,bloomy,white,"creamy, spicy",pungent,,Capriole Goat Cheese
Croghan,unpasteurized goat's milk,Ireland,County Wexford,"semi-soft, artisan",,,supple,washed,white,full-flavored,"earthy, grassy",yes ,Croghan Goat Farm
Cropwell Bishop Blue Stilton,pasteurized cow's milk,"England, Great Britain and United Kingdom",Nottinghamshire,"semi-soft, artisan, blue-veined",Blue,33%,"creamy, crumbly, firm and smooth",natural,cream,"creamy, strong, tangy","pungent, rich, spicy",yes ,Cropwell Bishop Creamery Limited
Crotonese,pasteurized sheep's milk,Italy,Crotone,"semi-hard, artisan",,,compact,natural,pale yellow,"salty, savory, strong",spicy, no ,
Crottin,pasteurized goat's milk,United States,"California, Vermont","soft, semi-soft, artisan",,,creamy,natural,cream,"nutty, tangy","fresh, lactic, pleasant",,"Andante Dairy , Redwood Hill Farm & Creamery, Vermont Creamery"
Crottin de Chavignol,unpasteurized goat's milk,France,"Loire, Chavignol","soft, artisan, soft-ripened",,45%,crumbly and smooth,natural,white,"full-flavored, nutty",goaty, no ,Various
Crowdie,pasteurized cow's milk,Scotland,,fresh soft,Cottage,,creamy and crumbly,natural,white,sour,,yes ,Highland Fine Cheeses Limited
Crowley,unpasteurized cow's milk,United States,Vermont,"semi-soft, hard, artisan",Cheddar,,"creamy, crumbly, firm and smooth",cloth wrapped,pale yellow,"buttery, full-flavored, mild, savory, smokey , spicy, sweet, tangy","aromatic, fresh, mild, pleasant, smokey", no ,Crowley Cheese 
Crozier,pasteurized sheep's milk,Ireland,"Fethard, Co Tipperary","semi-soft, artisan, blue-veined",Blue,,"buttery, chalky, creamy and crumbly",natural,pale yellow,"acidic, creamy, mild","rich, strong",yes ,Cashel Blue™ & Crozier Blue Cheeses
Crumbly Lancashire ,pasteurized or unpasteurized cow's milk,England,Lancashire,hard,,31.0 g/100g,crumbly,natural,pale yellow,"acidic, milky, tangy",,,"Butlers Farmhouse Cheeses, Dewlay Products Ltd, Leagram Organic Cheese, Singletons’ Dairy "
Cuajada,cow's or sheep's milk,Spain,,soft,,,creamy and smooth,,,,, no ,
Cubetto ,pasteurized buffalo's or cow's milk,Italy,Campania,"semi-soft, artisan",,,compact and smooth,,ivory,"smooth, sweet","fresh, fruity",,Casa Madaio
Cuor di burrata,,Italy,Campania,soft,,,creamy and smooth,,white,"buttery, milky, sweet","fresh, herbal, nutty", no ,Casa Madaio
Cup Cheese,unpasteurized cow's milk,United States,Pennsylvania ,"soft, artisan",,,creamy and spreadable,,,"sharp, sour, strong",strong,,
Cure Nantais,cow's milk,France,Anjou,"soft, artisan",,40%,"open, sticky and supple",,straw,"smokey , spicy",, no ,Various
Curworthy,pasteurized cow's milk,England,Devon,semi-hard,,48%,creamy,natural,cream,buttery,fresh,yes ,Rachel Stephens
Cwmtawe Pecorino,unpasteurized sheep's milk,Wales,Brecen,hard,Pecorino,,creamy,washed,orange,,,yes ,
Cypress Grove Chevre,goat's milk,United States,California,,,,,,,,,,Cypress Grove Chevre
Danablu (Danish Blue),cow's milk,Denmark,,"semi-soft, blue-veined",Blue,25-30%,creamy and crumbly,,white,"salty, sharp",, no ,Rosenborg 
Danbo,pasteurized cow's milk,Denmark,Vejle,"semi-soft, smear-ripened",,15-45%,"firm, open and springy",washed,ivory,"buttery, mild, nutty","stinky, strong", no ,Mammen Mejeri
Danby,unpasteurized goat's milk,United States,Vermont,"hard, artisan",Italian Cheese,,"dense, firm and smooth",natural,white,sharp,rich,yes ,Consider Bardwell Farm
Danish Feta,cow's milk,Denmark and Germany,,"semi-hard, brined",Feta,20%,"creamy, crumbly and smooth",rindless,white,mild,mild,,"Arla Foods, Gaganis bros"
Danish Fontina,pasteurized cow's milk,Denmark,,"semi-hard, artisan",,,semi firm,waxed,pale yellow,creamy,mild, no ,
Dante,pasteurized sheep's milk,United States,Wisconsin,"soft, artisan",,,dry and firm,natural,brownish yellow,"buttery, nutty","buttery, nutty, rich",, Wisconsin Sheep Dairy Cooperative 
Daphne's Aged Goat Cheese,unpasteurized goat's milk,United States,Wisconsin,"semi-soft, artisan",,,dense and smooth,mold ripened ,,"piquant, sharp, tart",goaty, no ,Daphne's Creamery
Daphne's Alpine Classic,unpasteurized cow's milk,United States,Wisconsin,"semi-soft, artisan",,,smooth,natural,yellow,nutty,, no ,Daphne's Creamery
Daphne's Goat Gouda,pasteurized goat's milk,United States,Wisconsin,"semi-firm, artisan",Gouda,,creamy and firm,natural,,"mild, piquant",goaty,,Daphne's Creamery
Daralagjazsky,goat's or sheep's milk,Russia,,soft,,,,,,,, no ,
Dark / Snow Canyon Edam,unpasteurized cow's milk,United States,Utah,"semi-hard, hard, artisan",,,"creamy, crumbly and grainy",natural,golden yellow,"buttery, creamy, mild, milky, sharp, tangy","grassy, rich", no ,Rockhill Creamery
Dauphin,pasteurized cow's milk,France,Nord-Pas de Calais,"semi-soft, artisan",,30%,firm,washed,golden orange,spicy,yeasty, no ,Will Studd Enterprizes Pty Ltd
Davidstow 3 Year Reserve Special Vintage,pasteurized cow's milk,"England, Great Britain and United Kingdom",Cornwall,hard,Cheddar,,"crumbly, firm, flaky and grainy",natural,yellow,"creamy, smooth",rich,yes ,Dairy Crest
Davidstow Extra Mature Cheddar,pasteurized cow's milk,"England, Great Britain and United Kingdom",Cornwall,hard,Cheddar,,"crystalline, flaky, grainy and smooth",natural,pale yellow,"pronounced, sweet",rich,yes ,Dairy Crest
Davidstow Mature Cheddar,pasteurized cow's milk,"England, Great Britain and United Kingdom",Cornwall,hard,Cheddar,,"creamy, crumbly and smooth",natural,pale yellow,"full-flavored, nutty",rich,yes ,Dairy Crest
Dehesa De Los Llanos - Curado,unpasteurized sheep's milk,Spain,Albacete,"hard, artisan",,,"crumbly, firm and flaky",natural,ivory,strong,"lactic, milky",,Dehesa de los Llanos S.L.
Dehesa De Los Llanos - Gran Reserva,unpasteurized sheep's milk,Spain,Albacete,"hard, artisan",,,"crumbly, firm and flaky",natural,straw,piquant,strong,,Dehesa de los Llanos S.L.
Dehesa De Los Llanos - Media Curacion,unpasteurized sheep's milk,Spain,Albacete ,"semi-hard, artisan",,,creamy and crumbly,natural,ivory,nutty,fresh,,Dehesa de los Llanos S.L.
Delamere Goats Cheese Logs,pasteurized goat's milk,England and United Kingdom,Cheshire,soft,Feta,22-28 g/100g,crumbly and smooth,natural,white,smooth,goaty,,Delamere Dairy Ltd
Delamere Medium Hard Goats cheese,pasteurized goat's milk,England and United Kingdom,Cheshire ,semi-firm,Feta,34.5 g/100g,crumbly and smooth,natural,white,"full-flavored, smooth",goaty,,Delamere Dairy Ltd
Delice de Bourgogne,pasteurized cow's milk,France,Burgundy,"soft, soft-ripened",Brie,75%,creamy and smooth,bloomy,cream,"buttery, mushroomy, smooth, tangy","mushroom, pungent, strong", no ,Fromagerie Lincet
Delice des Fiouves,cow's milk,France,Doubs,"soft, artisan",,,smooth and supple,washed,white,"mild, smooth",rich, no ,
Denhany Dorset Drum,cow's milk,England,,hard,,50%,chewy and dense,natural,,nutty,,yes ,
Derby,cow's milk,England and United Kingdom,Derbyshire,"semi-hard, artisan",Cheddar,,"creamy, firm, open and smooth",waxed,ivory,"buttery, mild, sweet",mild,yes ,
Desert Red Feta,unpasteurized cow's milk,United States,Utah,"firm, brined",Feta,,"creamy, crumbly and grainy",natural,white,"full-flavored, salty, tart",strong,,Rockhill Creamery
Dessertnyj Belyj,cow's milk,Russia,,soft,,40%,,,,,, no ,
Detroit Street Brick,pasteurized goat's milk,United States,"Ann Arbor, Michigan","soft, artisan",,,crumbly and soft,bloomy,ivory,"lemony, savory, spicy, tangy","earthy, spicy", no ,Zingerman's Creamery
Devil's Gulch,pasteurized cow's milk,United States,California,"semi-soft, artisan",,,creamy and soft,bloomy,pale yellow,"spicy, sweet","rich, spicy",yes ,Cowgirl Creamery
Devon Blue,unpasteurized cow's milk,England and United Kingdom,Devon,"semi-hard, artisan, blue-veined",Blue,48%,"crumbly, dense and firm",natural,pale yellow,"buttery, smooth, spicy",earthy,yes ,Ticklemore Cheese Dairy
Devon Garland,unpasteurized cow's milk,"England, Great Britain and United Kingdom","Exeter, Devon",semi-hard,,,firm and smooth,natural,,"herbaceous, savory","aromatic, fresh, herbal",yes ,
Dill & Garlic Chevre,pasteurized goat's milk,United States,Colorado,"semi-soft, artisan",,,"creamy, crumbly and firm",rindless,white,"garlicky, herbaceous, spicy, strong",aromatic,yes ,Haystack Mountain Goat Dairy
Dilly Girl,unpasteurized cow's milk,United States,NY,"semi-hard, artisan",Cheddar,,creamy and crumbly,natural,pale yellow,"full-flavored, garlicky, herbaceous, sharp","mild, sweet",,Muranda Cheese Company
Dinarski Iz Mosta,pasteurized cow's and goat's milk,Croatia,Dinaric,"hard, artisan",,,"grainy, soft and supple",natural,pale yellow,"grassy, pronounced, pungent","aromatic, subtle, sweet",yes ,SIRANA GLIGORA D.O.O
Dinarski Sir,pasteurized cow's and goat's milk,Croatia,Dinaric,"hard, artisan",,,"compact, crumbly, dense and firm",natural,golden yellow,"full-flavored, grassy",,yes ,SIRANA GLIGORA D.O.O
Dinarski Sir Iz Maslinove Komine,pasteurized cow's and goat's milk,Croatia,Dinaric,"hard, artisan",,,"compact, creamy, dense, firm and flaky",natural,golden yellow,"earthy, full-flavored, grassy, milky, pronounced",,yes ,SIRANA GLIGORA D.O.O
Dirt Lover,sheep's milk,United States,Missouri,"semi-soft, soft-ripened",Brie,,"creamy, dense and firm",ash coated,cream,"buttery, citrusy, nutty, savory, tangy",earthy, no ,Green Dirt Farm
Di.Vino,pasteurized cow's milk,Italy,"Treviso, Veneto","semi-hard, artisan",,,compact and dense,natural,ivory,"savory, smooth, sweet","fruity, rich, sweet",,Moro Latteria di Moro Sergio
Dolcelatte,cow's milk,Italy,,"soft, blue-veined",Blue,50%,,,,"mild, sweet",, no ,Galbani
Dolomitico ,pasteurized cow's milk,Italy,Veneto,"semi-hard, blue-veined",Blue,,"crumbly, dense and firm",natural,pale yellow,"pronounced, strong",pungent, no ,La Casearia Carpenedo S.r.l.
Don Bernardo Manchego,pasteurized sheep's milk,Spain,Castilla-La Mancha,"semi-hard, artisan",,,"dry, firm and open",natural,pale yellow,"herbaceous, nutty, strong, subtle","grassy, herbal, rich",,President Cheese
Don Carlo,unpasteurized cow's milk,Italy,Veneto,"hard, artisan",,,crumbly and flaky,natural,pale yellow,"pronounced, spicy, strong","pleasant, spicy", no ,La Casearia Carpenedo S.r.l.
Don Olivo,unpasteurized cow's milk,Italy and Switzerland,Veneto,semi-soft,,,crumbly,natural,straw,"pronounced, rustic, strong, tangy",,,La Casearia Carpenedo S.r.l.
Doolin,cow's milk,Netherlands,,hard,,,,,,,, no ,
Doppelrhamstufel,cow's milk,Germany,,soft,,,,,,salty,lactic, no ,
Dorblu,pasteurized cow's milk,Germany,Allgäu,"soft, blue-veined",Blue,,smooth,,cream,"creamy, spicy","buttery, fresh",yes ,Käserei Champignon
Dore-Mi,,Canada,Quebec,semi-soft,Cottage,22%,"chewy, firm and springy",rindless,white,"salty, savory, spicy",aromatic,,La Maison Alexis de Portneuf Inc.
Dorset ,unpasteurized cow's milk,United States,Vermont,"semi-soft, soft-ripened",Italian Cheese,,buttery,washed,yellow,"buttery, savory, sharp, smooth","grassy, nutty, pungent, rich, strong",yes ,Consider Bardwell Farm
